                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    162,                0.12157,                0.39441,                0.18177,                 0.8836,                0.92549,                0.89936,                0.81644,                0.13384,                0.46023,                0.23313,                 0.0001,                 0.0001,                 0.0001
                    163,                0.12259,                0.38797,                0.18161,                0.86421,                0.89432,                0.88504,                0.80321,                0.13399,                0.46765,                0.23219,                 0.0001,                 0.0001,                 0.0001
                    164,                0.12276,                0.37386,                0.18336,                0.92158,                0.87592,                0.89459,                0.80435,                0.13479,                0.46739,                0.23279,                 0.0001,                 0.0001,                 0.0001
                    165,                0.12054,                0.37039,                0.18291,                0.91631,                0.94052,                0.91322,                0.82362,                0.13475,                0.45128,                0.23205,                 0.0001,                 0.0001,                 0.0001
                    166,                0.12264,                0.38528,                0.17849,                0.89941,                0.93749,                0.91842,                0.82913,                0.13443,                0.45694,                0.23349,                 0.0001,                 0.0001,                 0.0001
                    167,                0.12275,                 0.3777,                0.18228,                 0.8982,                0.92005,                0.89999,                0.81059,                0.13314,                0.44264,                0.23131,                 0.0001,                 0.0001,                 0.0001
                    168,                0.12342,                0.40661,                0.18455,                0.89366,                0.92441,                0.90421,                 0.8203,                0.13252,                0.43728,                 0.2295,                 0.0001,                 0.0001,                 0.0001
                    169,                0.12695,                0.38272,                0.19019,                0.87116,                 0.9341,                0.91224,                0.82132,                0.13473,                0.44338,                0.23151,                 0.0001,                 0.0001,                 0.0001
                    170,                0.12284,                0.41144,                0.18068,                0.85471,                0.93306,                 0.9079,                0.81719,                0.13478,                0.47917,                0.23115,                 0.0001,                 0.0001,                 0.0001
                    171,                0.12663,                0.39994,                0.18603,                0.86586,                0.92604,                0.90534,                0.81652,                0.13318,                0.43702,                0.22969,                 0.0001,                 0.0001,                 0.0001
                    172,                 0.1254,                0.35723,                 0.1886,                0.87865,                0.92698,                0.91009,                0.81977,                0.13236,                0.43666,                0.22702,                 0.0001,                 0.0001,                 0.0001
                    173,                0.12443,                0.36152,                0.19131,                0.88704,                0.92678,                0.90715,                0.81938,                0.13341,                0.44179,                0.22829,                 0.0001,                 0.0001,                 0.0001
                    174,                0.12373,                0.36609,                0.18837,                 0.8887,                0.94186,                0.91214,                0.82583,                 0.1332,                0.42577,                0.22911,                 0.0001,                 0.0001,                 0.0001
                    175,                0.12128,                0.36575,                0.18212,                 0.8939,                0.92997,                0.91133,                0.82861,                0.13127,                0.42797,                0.22462,                 0.0001,                 0.0001,                 0.0001
                    176,                0.12083,                0.39179,                0.17738,                0.87971,                0.90392,                0.90399,                0.81701,                0.13184,                0.43495,                0.22556,                 0.0001,                 0.0001,                 0.0001
                    177,                0.12101,                0.36109,                0.18153,                0.87619,                0.92891,                0.90169,                0.81136,                0.13132,                0.43645,                0.22575,                 0.0001,                 0.0001,                 0.0001
                    178,                0.11721,                0.35706,                0.17673,                0.89378,                0.92873,                0.90538,                0.81577,                0.13203,                0.41738,                0.22513,                 0.0001,                 0.0001,                 0.0001
                    179,                0.11936,                0.38862,                0.18023,                0.92591,                0.88825,                 0.9051,                0.81917,                0.13177,                0.42528,                0.22385,                 0.0001,                 0.0001,                 0.0001
                    180,                0.11914,                0.37567,                0.18012,                0.88705,                0.92541,                0.90789,                   0.82,                 0.1309,                0.41279,                0.22242,                 0.0001,                 0.0001,                 0.0001
                    181,                0.11603,                0.36449,                0.17423,                0.91834,                0.89137,                0.90608,                0.82031,                0.13187,                0.42189,                0.22493,                 0.0001,                 0.0001,                 0.0001
                    182,                0.12271,                 0.3607,                0.18457,                0.88721,                0.93023,                0.90531,                0.82063,                0.13183,                0.41865,                0.22573,                 0.0001,                 0.0001,                 0.0001
                    183,                0.12227,                0.38002,                0.17974,                0.87481,                 0.9287,                0.89915,                0.81852,                0.13247,                0.42877,                0.22731,                 0.0001,                 0.0001,                 0.0001
                    184,                0.12029,                0.37055,                0.18098,                0.88788,                0.92865,                0.89847,                0.81564,                0.13173,                0.41844,                0.22714,                 0.0001,                 0.0001,                 0.0001
                    185,                0.11944,                0.36125,                0.17719,                0.88917,                0.91657,                 0.9032,                0.82388,                 0.1312,                0.41171,                0.22655,                 0.0001,                 0.0001,                 0.0001
                    186,                 0.1185,                0.37146,                0.18296,                0.89759,                0.94186,                0.91252,                0.83233,                0.13057,                0.40349,                0.22601,                 0.0001,                 0.0001,                 0.0001
                    187,                0.11878,                0.39249,                0.17676,                0.89147,                0.94186,                0.90946,                 0.8256,                0.13148,                0.40558,                0.22729,                 0.0001,                 0.0001,                 0.0001
                    188,                0.11991,                0.37209,                0.18425,                0.89883,                0.94186,                0.91174,                0.82546,                0.13272,                0.40579,                0.22809,                 0.0001,                 0.0001,                 0.0001
                    189,                 0.1212,                0.34811,                 0.1819,                0.89899,                0.94186,                0.91351,                0.82732,                 0.1346,                0.40662,                0.23019,                 0.0001,                 0.0001,                 0.0001
                    190,                0.11817,                0.37829,                0.18408,                0.89783,                0.93023,                0.89982,                0.81928,                0.13279,                0.41352,                0.22572,                 0.0001,                 0.0001,                 0.0001
                    191,                0.12095,                 0.3498,                0.18008,                0.89328,                0.92974,                0.89814,                0.81509,                0.13235,                0.42229,                0.22422,                 0.0001,                 0.0001,                 0.0001
                    192,                0.12091,                0.38132,                0.18587,                0.88106,                0.93558,                0.90066,                0.81931,                0.13088,                0.42981,                0.22387,                 0.0001,                 0.0001,                 0.0001
                    193,                 0.1193,                0.35515,                0.17998,                0.89346,                0.94186,                0.89701,                0.81841,                0.13212,                0.43639,                 0.2261,                 0.0001,                 0.0001,                 0.0001
                    194,                 0.1206,                0.39157,                0.18243,                0.89191,                0.92995,                0.89962,                0.81995,                0.13127,                0.44235,                0.22432,                 0.0001,                 0.0001,                 0.0001
                    195,                0.11667,                0.37772,                0.18313,                0.87504,                0.94186,                0.89711,                0.82123,                0.13026,                0.44169,                0.22347,                 0.0001,                 0.0001,                 0.0001
                    196,                0.11568,                0.42767,                0.17034,                0.87018,                0.94186,                0.89666,                0.81753,                0.13071,                0.42794,                0.22404,                 0.0001,                 0.0001,                 0.0001
                    197,                0.11637,                0.35415,                0.17892,                0.87201,                0.94186,                0.89213,                0.81341,                0.12967,                0.42953,                 0.2225,                 0.0001,                 0.0001,                 0.0001
                    198,                 0.1177,                0.35262,                0.18102,                0.87251,                0.94186,                0.89192,                0.81385,                0.12885,                0.42818,                0.22145,                 0.0001,                 0.0001,                 0.0001
                    199,                 0.1193,                0.35005,                0.18145,                0.90086,                0.91002,                0.88968,                0.81374,                0.12878,                0.45274,                0.22185,                 0.0001,                 0.0001,                 0.0001
                    200,                0.11689,                0.36054,                0.17509,                0.86667,                0.94186,                0.89056,                0.81033,                0.12844,                0.45258,                 0.2212,                 0.0001,                 0.0001,                 0.0001
