                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  0.696,                0.88204,                 1.3291,                0.82957,                0.77246,                0.81923,                0.72588,                0.54926,                0.86056,                 1.1591,              0.0013947,              0.0013947,              0.0013947
                     36,                0.70208,                 0.9025,                 1.3339,                0.59174,                0.91836,                0.82627,                0.72436,                0.57952,                0.97169,                 1.1724,              0.0013864,              0.0013864,              0.0013864
                     37,                0.69137,                0.88013,                 1.3241,                0.72641,                 0.8745,                0.85019,                0.76045,                0.54241,                 0.7557,                 1.1374,              0.0013782,              0.0013782,              0.0013782
                     38,                0.68804,                0.83658,                 1.2969,                0.53025,                0.73096,                0.75105,                 0.6557,                0.57863,                 1.5833,                  1.161,              0.0013699,              0.0013699,              0.0013699
                     39,                0.65742,                0.85484,                 1.2832,                0.55695,                0.79786,                0.75299,                0.66043,                0.57269,                 1.1723,                 1.1719,              0.0013617,              0.0013617,              0.0013617
                     40,                 0.6848,                0.85498,                 1.3151,                0.86122,                0.85135,                0.83709,                0.73902,                0.53493,                0.73849,                 1.1128,              0.0013534,              0.0013534,              0.0013534
                     41,                0.69328,                0.87864,                 1.3144,                0.76514,                0.90392,                0.84525,                 0.7416,                0.59441,                0.73488,                 1.1523,              0.0013452,              0.0013452,              0.0013452
                     42,                0.65538,                0.82329,                 1.2859,                 0.7904,                0.85129,                0.85457,                0.73763,                0.58912,                0.73425,                 1.1758,              0.0013369,              0.0013369,              0.0013369
                     43,                0.67491,                0.82385,                 1.3026,                 0.5931,                0.83298,                0.84135,                0.75603,                0.52681,                 1.0136,                 1.1066,              0.0013287,              0.0013287,              0.0013287
                     44,                0.65718,                0.81675,                 1.2813,                0.83063,                0.78832,                0.87943,                0.79444,                0.51893,                0.71429,                  1.107,              0.0013204,              0.0013204,              0.0013204
                     45,                0.66434,                0.82292,                 1.2872,                0.69511,                0.83354,                0.87592,                0.77596,                0.57069,                 0.8074,                 1.1456,              0.0013122,              0.0013122,              0.0013122
                     46,                0.64838,                0.81559,                 1.2766,                0.74289,                0.88563,                0.86348,                0.77332,                0.51861,                0.91466,                 1.1339,              0.0013039,              0.0013039,              0.0013039
                     47,                 0.6505,                0.81004,                 1.2808,                0.78422,                0.87209,                0.86725,                0.77649,                0.53576,                0.74777,                 1.1363,              0.0012957,              0.0012957,              0.0012957
                     48,                0.62596,                0.78518,                 1.2668,                0.75527,                0.83568,                0.84674,                0.75622,                0.51887,                0.89753,                 1.1203,              0.0012874,              0.0012874,              0.0012874
                     49,                0.62709,                 0.7876,                 1.2552,                0.75319,                0.87651,                0.89239,                0.78875,                0.53674,                0.71083,                 1.1465,              0.0012792,              0.0012792,              0.0012792
                     50,                0.62994,                 0.7722,                 1.2688,                0.73836,                0.90751,                0.87277,                0.77581,                0.52437,                0.77904,                 1.1224,              0.0012709,              0.0012709,              0.0012709
