                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4868,                 2.0851,                 2.6263,                0.69088,                0.80337,                0.79739,                0.70495,                 1.0597,                 1.4931,                 1.9868,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.5057,                 2.0404,                 2.6275,                0.75683,                0.65365,                0.79243,                0.69908,                 1.0128,                 1.6309,                 1.9524,              0.0013782,              0.0013782,              0.0013782
                     37,                 1.4931,                 2.0141,                 2.6128,                0.73339,                0.76482,                0.83307,                 0.7331,                 1.0088,                  1.473,                 1.9683,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.4573,                 1.9822,                 2.5922,                0.66512,                0.75737,                0.81194,                0.73116,                0.99934,                 1.5735,                 1.9355,              0.0013617,              0.0013617,              0.0013617
                     39,                 1.4399,                 1.9217,                 2.5826,                0.83525,                0.69634,                0.80522,                0.68823,                 1.1946,                  1.515,                   2.12,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.4102,                 1.8909,                 2.5619,                0.79476,                0.71701,                0.79509,                0.70889,                 1.0399,                 1.5083,                 1.9834,              0.0013452,              0.0013452,              0.0013452
                     41,                 1.4568,                 1.9432,                 2.5833,                0.75449,                0.73091,                0.80109,                0.71633,                0.98143,                 1.5053,                  1.931,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.4195,                 1.9557,                 2.5505,                0.64786,                 0.7784,                0.77895,                0.68454,                 1.0266,                 1.8088,                 1.9887,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.4022,                 1.9099,                 2.5293,                0.61456,                0.82493,                0.79771,                0.71737,                0.94608,                 1.7147,                 1.9276,              0.0013204,              0.0013204,              0.0013204
                     44,                 1.4547,                 1.9009,                  2.571,                0.61026,                0.77586,                0.78245,                    0.7,                0.97677,                 1.9883,                  1.925,              0.0013122,              0.0013122,              0.0013122
                     45,                 1.4334,                  1.889,                 2.5571,                0.75536,                0.72319,                0.81163,                0.73054,                0.97764,                 1.3771,                 1.9328,              0.0013039,              0.0013039,              0.0013039
                     46,                 1.3877,                  1.794,                 2.4934,                0.75195,                0.76141,                0.83915,                0.75873,                0.91268,                 1.3755,                 1.9001,              0.0012957,              0.0012957,              0.0012957
                     47,                 1.3773,                 1.8224,                 2.5392,                0.81834,                0.71324,                0.84027,                0.75445,                0.95712,                  1.436,                 1.9471,              0.0012874,              0.0012874,              0.0012874
                     48,                 1.3762,                 1.9124,                 2.5172,                0.76609,                0.74111,                0.84853,                 0.7607,                0.96275,                 1.3064,                 1.9143,              0.0012792,              0.0012792,              0.0012792
                     49,                 1.3699,                  1.824,                 2.5288,                0.63884,                0.78629,                0.83595,                0.74733,                0.98472,                 1.9715,                 1.9441,              0.0012709,              0.0012709,              0.0012709
                     50,                 1.3617,                 1.7436,                  2.513,                0.67374,                 0.7993,                 0.8456,                0.74599,                0.95971,                  1.693,                 1.9287,              0.0012627,              0.0012627,              0.0012627
                     51,                 1.3296,                 1.7476,                 2.4604,                0.72454,                0.83249,                0.83987,                0.75297,                0.94927,                 1.5042,                 1.9021,              0.0012544,              0.0012544,              0.0012544
                     52,                 1.4112,                 1.8419,                 2.5194,                0.79973,                0.77399,                0.82228,                0.73107,                0.96764,                 1.3985,                 1.9461,              0.0012462,              0.0012462,              0.0012462
                     53,                 1.3538,                 1.7469,                 2.4914,                 0.8151,                0.75362,                0.85455,                0.77466,                0.89502,                 1.3088,                 1.8949,              0.0012379,              0.0012379,              0.0012379
                     54,                 1.3922,                 1.7821,                 2.5238,                0.66769,                0.71128,                0.80437,                0.72406,                0.95983,                 1.7802,                 1.9274,              0.0012297,              0.0012297,              0.0012297
                     55,                 1.3376,                  1.715,                 2.4772,                0.71985,                0.83437,                0.82433,                0.72998,                 1.0193,                 1.4293,                 1.9314,              0.0012214,              0.0012214,              0.0012214
                     56,                 1.3285,                 1.7382,                 2.4512,                0.74145,                0.77728,                 0.8177,                0.74013,                0.90142,                 1.5181,                 1.9242,              0.0012132,              0.0012132,              0.0012132
                     57,                 1.3245,                 1.7346,                  2.458,                0.75091,                0.82835,                0.85872,                0.76372,                0.93952,                 1.3105,                 1.9058,              0.0012049,              0.0012049,              0.0012049
                     58,                 1.3099,                 1.6779,                 2.4576,                0.70034,                0.84276,                0.85112,                0.77127,                0.93783,                 1.3894,                 1.8933,              0.0011967,              0.0011967,              0.0011967
                     59,                 1.3631,                 1.7145,                 2.4801,                0.69355,                0.76055,                0.78542,                0.70032,                 1.0172,                 1.6359,                 1.9608,              0.0011884,              0.0011884,              0.0011884
                     60,                 1.3256,                 1.6848,                 2.4488,                0.81766,                0.74948,                 0.8433,                 0.7609,                0.91578,                  1.433,                 1.8964,              0.0011802,              0.0011802,              0.0011802
                     61,                 1.3054,                 1.7432,                 2.4631,                0.82925,                0.79541,                0.85998,                0.78521,                 0.8985,                 1.2151,                  1.858,              0.0011719,              0.0011719,              0.0011719
                     62,                 1.2693,                 1.6216,                 2.4289,                0.77197,                 0.8203,                0.84262,                0.76401,                0.89865,                 1.2747,                 1.8936,              0.0011636,              0.0011636,              0.0011636
                     63,                 1.3107,                 1.6715,                 2.4424,                0.80147,                0.79534,                0.83794,                0.75211,                 0.9143,                 1.3726,                 1.9048,              0.0011554,              0.0011554,              0.0011554
                     64,                 1.3192,                  1.739,                 2.4518,                0.82842,                0.80695,                 0.8607,                0.77645,                 0.9242,                 1.2456,                 1.9042,              0.0011471,              0.0011471,              0.0011471
                     65,                 1.3324,                  1.665,                 2.4914,                0.83992,                0.82028,                0.89287,                0.80327,                 0.9589,                 1.1569,                 1.9289,              0.0011389,              0.0011389,              0.0011389
                     66,                 1.2291,                 1.5379,                 2.3944,                0.86062,                0.74958,                0.89113,                0.81455,                0.88462,                 1.2363,                   1.87,              0.0011306,              0.0011306,              0.0011306
                     67,                  1.303,                 1.6228,                 2.4581,                0.67647,                0.83392,                0.84233,                0.75526,                0.94893,                 1.2894,                 1.9289,              0.0011224,              0.0011224,              0.0011224
