                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8729,                 3.7338,                 4.1534,                0.00448,                0.97674,                0.01246,                0.00318,                 2.9475,                 3.7271,                  4.186,             0.00054698,             0.00054698,             0.00054698
                      2,                 2.5774,                 3.1919,                 3.4619,                0.07114,                0.97521,                0.45664,                0.25808,                 1.9386,                 49.431,                 3.9281,              0.0010972,              0.0010972,              0.0010972
                      3,                 2.1556,                 2.7784,                 2.8717,                0.71587,                0.36842,                0.44621,                0.16799,                 2.5055,                 6.1484,                 3.3728,              0.0016419,              0.0016419,              0.0016419
                      4,                 1.8925,                 2.4452,                 2.5002,                0.45077,                0.73195,                0.52137,                0.32602,                 1.4072,                 3.9223,                 1.9747,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.6853,                 2.1774,                 2.3073,                0.50987,                0.75306,                0.58187,                0.43365,                 1.0686,                 2.2685,                 1.6049,              0.0016422,              0.0016422,              0.0016422
                      6,                 1.4854,                 1.9566,                  2.117,                0.49657,                0.86597,                0.51804,                0.40156,                0.99703,                 1.6521,                 1.5663,               0.001634,               0.001634,               0.001634
                      7,                 1.4049,                 1.8698,                 2.0024,                0.45817,                0.89627,                0.53602,                0.44474,                0.87222,                 1.7746,                   1.35,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.2821,                 1.7623,                 1.8837,                 0.4231,                 0.9071,                0.51527,                0.42207,                 0.8639,                 1.6081,                 1.3525,              0.0016175,              0.0016175,              0.0016175
                      9,                 1.2255,                 1.6973,                 1.8241,                0.47023,                0.89305,                0.55357,                0.45211,                0.78303,                 1.6253,                 1.3004,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.1494,                 1.5962,                 1.7483,                0.46615,                0.88311,                0.56303,                0.47967,                0.72415,                 1.3571,                 1.2492,               0.001601,               0.001601,               0.001601
                     11,                 1.1105,                 1.5159,                 1.6973,                0.47701,                0.92258,                0.56544,                0.46312,                0.80371,                 1.1988,                 1.2742,              0.0015927,              0.0015927,              0.0015927
                     12,                 1.0512,                 1.4808,                  1.639,                0.44303,                 0.9073,                0.54139,                0.44696,                0.74291,                  1.278,                 1.2172,              0.0015845,              0.0015845,              0.0015845
                     13,                  1.004,                 1.4236,                 1.6123,                0.44709,                0.92258,                0.56032,                0.47762,                0.72438,                 1.1279,                 1.1858,              0.0015762,              0.0015762,              0.0015762
                     14,                0.95854,                  1.385,                 1.5667,                0.48142,                0.90942,                0.56545,                0.47758,                0.71057,                 1.1965,                 1.1933,               0.001568,               0.001568,               0.001568
