                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.65792,                0.91086,                 1.2613,                0.62832,                 0.9596,                0.85125,                0.75369,                0.51853,                0.90719,                 1.0475,              0.0013947,              0.0013947,              0.0013947
                     36,                0.68561,                0.92647,                 1.2911,                0.84728,                0.76382,                0.85721,                0.75863,                 0.5561,                 0.8014,                 1.0628,              0.0013864,              0.0013864,              0.0013864
                     37,                0.67134,                0.90262,                 1.2807,                0.66358,                 0.8978,                0.84868,                0.75557,                0.53679,                 0.9478,                 1.0419,              0.0013782,              0.0013782,              0.0013782
                     38,                0.65334,                 0.8536,                 1.2367,                0.57325,                0.85526,                0.81209,                 0.7256,                0.55415,                 1.3774,                 1.0752,              0.0013699,              0.0013699,              0.0013699
                     39,                0.61552,                0.85043,                 1.2272,                0.73721,                0.83139,                0.82287,                0.72505,                0.58728,                0.93265,                 1.0748,              0.0013617,              0.0013617,              0.0013617
                     40,                0.64839,                0.85182,                 1.2512,                0.78178,                0.87963,                0.86004,                0.75568,                0.56481,                0.71928,                 1.0674,              0.0013534,              0.0013534,              0.0013534
                     41,                0.65166,                0.82112,                 1.2515,                0.78088,                0.84034,                0.84552,                 0.7604,                0.55092,                0.74884,                 1.0886,              0.0013452,              0.0013452,              0.0013452
                     42,                0.60379,                0.80362,                  1.215,                0.63566,                0.74593,                0.81241,                0.72672,                0.52925,                 1.1169,                 1.0477,              0.0013369,              0.0013369,              0.0013369
                     43,                 0.6334,                0.83643,                 1.2393,                0.77661,                0.79586,                0.87456,                0.78607,                0.52592,                0.78094,                 1.0495,              0.0013287,              0.0013287,              0.0013287
                     44,                0.63319,                0.80436,                  1.234,                 0.7935,                 0.8882,                0.86437,                0.78188,                0.51863,                 0.7442,                 1.0474,              0.0013204,              0.0013204,              0.0013204
                     45,                0.63134,                0.81817,                  1.237,                0.82901,                  0.858,                0.86591,                0.76724,                0.57957,                0.75023,                 1.0899,              0.0013122,              0.0013122,              0.0013122
                     46,                0.59741,                0.78062,                 1.2148,                0.63205,                0.80973,                0.82834,                0.73309,                0.54973,                 1.2698,                 1.0706,              0.0013039,              0.0013039,              0.0013039
                     47,                0.62442,                0.79025,                 1.2271,                 0.7996,                0.82409,                0.90431,                0.80958,                0.53198,                0.67574,                 1.0363,              0.0012957,              0.0012957,              0.0012957
                     48,                0.59777,                0.75265,                 1.2104,                0.79911,                0.86035,                0.86704,                0.78328,                0.50547,                0.70849,                 1.0508,              0.0012874,              0.0012874,              0.0012874
                     49,                0.61105,                0.75999,                 1.2111,                0.83028,                0.89902,                0.88286,                0.77786,                0.52441,                0.62564,                 1.0744,              0.0012792,              0.0012792,              0.0012792
                     50,                0.60217,                0.75013,                 1.2195,                0.80456,                0.83961,                0.88979,                 0.8031,                0.53121,                 0.7268,                 1.0662,              0.0012709,              0.0012709,              0.0012709
                     51,                0.60919,                0.74717,                 1.2186,                0.75164,                0.89141,                 0.8953,                0.79635,                0.52074,                0.68927,                 1.0508,              0.0012627,              0.0012627,              0.0012627
                     52,                0.58582,                0.70404,                 1.2062,                0.79985,                0.86446,                0.91438,                0.83014,                0.50456,                0.65381,                 1.0275,              0.0012544,              0.0012544,              0.0012544
                     53,                0.55965,                0.70395,                 1.1795,                0.82929,                0.89229,                0.87543,                0.79178,                0.54262,                0.67513,                 1.0725,              0.0012462,              0.0012462,              0.0012462
                     54,                0.57541,                0.72485,                 1.1957,                0.81191,                0.87056,                 0.8842,                0.78939,                0.56744,                0.71943,                 1.0909,              0.0012379,              0.0012379,              0.0012379
                     55,                0.61888,                0.71464,                 1.2316,                0.79195,                0.89496,                0.89912,                0.80869,                0.52332,                0.67019,                 1.0486,              0.0012297,              0.0012297,              0.0012297
                     56,                0.56928,                0.67747,                 1.1851,                0.81892,                 0.8776,                0.88684,                0.79301,                0.53934,                0.70475,                 1.0645,              0.0012214,              0.0012214,              0.0012214
                     57,                0.60698,                0.73953,                 1.2223,                 0.8091,                 0.8912,                0.90952,                0.82099,                0.51185,                0.65923,                 1.0439,              0.0012132,              0.0012132,              0.0012132
                     58,                0.60433,                0.69211,                 1.2107,                0.85047,                0.87714,                0.89951,                0.80582,                 0.5402,                0.63274,                   1.06,              0.0012049,              0.0012049,              0.0012049
                     59,                0.59537,                0.70703,                 1.2089,                0.91442,                0.84578,                 0.9324,                0.84403,                0.51258,                0.59819,                  1.061,              0.0011967,              0.0011967,              0.0011967
                     60,                0.56306,                0.69035,                 1.1899,                0.91228,                0.85741,                0.93088,                 0.8367,                0.51453,                0.58466,                  1.051,              0.0011884,              0.0011884,              0.0011884
                     61,                0.55325,                0.66281,                 1.1728,                0.85743,                0.83568,                 0.8798,                0.79978,                0.49493,                0.75748,                  1.028,              0.0011802,              0.0011802,              0.0011802
                     62,                0.58498,                0.68179,                 1.1953,                0.67419,                0.85513,                0.87636,                0.79306,                 0.5002,                0.90022,                 1.0176,              0.0011719,              0.0011719,              0.0011719
